taxa	bafB	bafC	bafD	bafPseudo
IFM_59777	0	0	0	0
IFM_60237	0	2	2	0
IFM_60514	0	0	0	2
IFM_61118	0	0	0	1
IFM_61407	0	0	0	2
IFM_61578	0	0	1	0
IFM_61610	0	0	0	1
IFM_62516	0	0	1	0
ISSF_21	0	0	1	2
JCM_10253	0	1	0	0
JN10	1	0	0	1
LMB-35Aa	0	1	0	0
M128	1	0	0	0
M5960-D	0	0	0	2
MO54056EXP	1	1	0	1
MO68507EXP	1	0	0	0
MO69250EXP	1	1	0	1
MO76959EXP	1	1	0	1
MO78722EXP	0	0	0	1
MO79587EXP	0	1	0	0
MO89263LAB	1	1	0	1
MO91298SB	0	1	0	0
Mg18-1	0	0	0	1
Moose-3_1_2	0	0	0	0
Moose_3-1.1	0	0	0	0
NCPF-7811	0	0	0	0
NCPF-7816	1	0	0	0
NCPF-7820	1	0	0	2
NCPF-7822	0	0	0	0
Oryx-1	0	0	0	1
RSF2S8	0	0	0	0
SF1S5	0	0	0	0
SF1S6	0	0	1	0
SF2S6	0	0	1	1
SF2S9	0	0	0	3
SF3S1	0	0	0	1
SF3S10	0	0	0	1
SF4S10	1	0	0	0
TP12	1	2	2	1
TP32	0	3	1	0
W72310	0	1	1	0
akuBKU80	1	4	1	1
histone_RFP	1	1	1	0
